masked_word,target,original_word,wrong_guesses
d_l,i,dil,['e']
_p_,t,apt,"['o', 'e', 'i', 's', 'r']"
_s_,m,lsm,"['o', 'e', 'i', 'a', 'r']"
k_w,a,kaw,"['o', 'e', 'i', 'n']"
io_,n,ion,"['d', 's', 'l', 'r']"
e_b,n,enb,"['r', 'l', 'a', 's']"
db_,i,dbi,"['e', 'o']"
c_t,o,cot,['i']
__r,a,sar,"['o', 'e', 'i', 't', 'n']"
__b,t,atb,"['o', 'e', 'i', 'r', 's']"
_sn,a,asn,['o']
c_g,t,ctg,"['o', 'i']"
i_o,l,ilo,"['n', 's']"
_a_,j,jab,"['m', 'c', 'l', 'p']"
v_y,n,vny,"['o', 'i', 'a', 'e']"
_rf,a,arf,['o']
h_v,g,hgv,"['e', 'o', 'i']"
r__,a,rya,"['e', 'o', 'i', 'n', 's']"
in_,a,ina,"['e', 'o']"
_tm,s,stm,"['e', 'o', 'i', 'a']"
__e,l,lwe,"['r', 'o', 'i', 'a', 's']"
a_f,d,adf,"['c', 'l']"
f_c,g,fgc,"['i', 'e', 'o']"
sa_,v,sav,"['b', 'p', 'g', 'm']"
od_,e,ode,"['i', 's']"
_ur,l,lur,"['a', 's']"
_dm,f,fdm,"['e', 'i', 'o', 'a']"
i__,f,ifr,"['n', 'o', 'e', 's']"
_ba,o,oba,"['e', 'i']"
d_f,b,dbf,['e']
c_t,s,cst,"['o', 'i', 'e', 'a']"
p__,h,poh,"['i', 'e', 'r', 'a', 'n']"
_wa,c,cwa,"['e', 'o']"
o__,t,out,"['e', 'i', 'r', 's']"
_gt,o,ogt,"['e', 'i', 'a']"
_es,l,les,"['r', 'a', 'i', 'n']"
__f,d,bdf,"['e', 'i', 'o', 'a']"
t_c,d,tdc,"['i', 'e', 'o', 'a']"
d_v,u,duv,"['e', 'i']"
p__,t,pmt,"['o', 'i', 'e', 'r', 'a']"
c_e,h,che,"['r', 'l', 'o']"
m__,l,mil,"['e', 'o', 'a', 'r']"
p_d,a,pad,"['o', 'e']"
h_e,a,hae,"['o', 'i', 'r']"
_ay,c,cay,"['b', 'j', 'l', 'p']"
b_r,e,ber,"['o', 'i']"
_se,i,ise,"['o', 'a', 'r', 't']"
m_r,f,mfr,"['o', 'i', 'e', 'a']"
c_b,i,cib,"['o', 'a', 'e']"
j__,a,jac,"['o', 'e', 'i', 'n']"
d__,t,dat,"['e', 'o', 'i', 'r']"
y_m,i,yim,['o']
y__,o,yoo,['e']
s_o,w,swo,"['r', 'i']"
_bx,p,pbx,['o']
_n_,c,fnc,"['i', 'e', 'o', 'a', 's']"
__x,p,pex,"['o', 'a', 'i', 'n']"
o_y,s,osy,['r']
__u,i,iau,"['o', 'r', 'e', 's', 'l']"
li_,b,lib,['o']
__r,c,ccr,"['o', 'e', 'i', 'a', 's']"
_a_,e,gae,"['m', 'b', 'c', 'l']"
__t,a,kat,"['e', 'o', 'i', 'r', 'n']"
_od,f,fod,"['r', 'e']"
te_,h,teh,"['r', 'n']"
_o_,p,pob,"['r', 'n', 'i', 'l', 's']"
l_e,m,lme,"['o', 'i', 'a']"
i__,m,imp,"['n', 'o', 'e', 'r', 's']"
ni_,p,nip,"['s', 'l', 'r', 'a']"
__r,b,bor,"['e', 'i', 'a', 's', 't']"
i_v,s,isv,"['n', 'o']"
a_e,t,ate,"['l', 'p']"
n__,e,nce,"['o', 'i', 'a', 'r', 's']"
r_t,d,rdt,"['e', 'o', 'i', 'a']"
_im,l,lim,"['s', 'r', 'n']"
by_,e,bye,"['o', 'a', 'i', 's']"
__e,i,ice,"['r', 'o', 'a', 's', 'n']"
n__,b,nbo,"['i', 'e', 'a', 'r']"
i__,d,idc,"['n', 'o', 'e', 'r', 's']"
_f_,v,vfs,"['e', 'o', 'i', 'a', 'r']"
_ts,q,qts,"['i', 'e', 'o']"
tc_,p,tcp,"['i', 'o', 'e']"
e__,p,epw,"['i', 'o', 'n', 'r']"
_eu,l,leu,"['r', 's', 'n', 'a']"
_i_,m,zim,"['n', 'r', 's', 'l', 'o']"
k_d,e,ked,"['i', 'o', 'a', 's']"
l_l,d,ldl,['o']
_el,s,sel,"['r', 'o', 'a']"
__h,c,rch,"['o', 'e', 'i', 'a']"
_a_,p,pag,"['m', 'b', 'c', 'l', 'r']"
_md,i,imd,['e']
_mi,e,emi,"['o', 'a']"
v_s,w,vws,"['i', 'e', 'o']"
u__,t,uts,"['n', 'r', 'i', 'e']"
c_a,s,csa,"['r', 'o']"
_fd,b,bfd,"['e', 'o']"
d_w,f,dfw,"['o', 'e']"
_at,f,fat,"['p', 'k', 'c', 'b']"
f_n,i,fin,['o']
s_s,a,sas,"['o', 'e', 'i']"
_ui,b,bui,"['r', 'l', 's', 'q']"
p__,g,psg,"['o', 'i', 'e', 'r']"
pp_,i,ppi,"['e', 'o', 's', 'a', 'r']"
_lb,t,tlb,['e']
kn_,t,knt,"['e', 'o', 'a']"
a_u,g,agu,"['b', 'p', 'c', 'l']"
dm_,i,dmi,"['e', 'o', 'a', 'r']"
_i_,l,lia,"['n', 'r', 's', 'o']"
_o_,y,yoy,['r']
___,z,zzz,"['o', 'i', 'e', 'a']"
mi_,n,min,['s']
s_t,i,sit,['e']
fe_,y,fey,"['r', 'i', 'l', 'a']"
s_s,x,sxs,"['o', 'e', 'i', 'a', 'r']"
a_n,b,abn,['u']
__c,l,lec,"['o', 'i', 'a', 'n', 'r']"
v_a,i,via,['e']
_h_,a,gha,"['e', 'o', 'i', 's']"
_s_,e,vse,"['o', 'i', 'a', 'r']"
de_,b,deb,"['r', 'o', 's']"
_og,m,mog,['r']
v__,t,vtc,"['i', 'e', 'o', 'a', 'r']"
_an,z,zan,"['k', 'p', 'b', 'j']"
_ed,w,wed,"['r', 's', 'a', 'l']"
p__,i,pif,"['o', 'e', 'r', 'a', 'n']"
f__,l,fls,"['o', 'i', 'e', 'r']"
__l,a,aal,"['e', 'o', 'i', 'r', 'n']"
_ik,n,nik,['l']
_p_,u,ups,"['o', 'e', 'i', 'a']"
__s,m,ams,"['i', 'e', 'o', 'r']"
__s,d,dis,"['e', 'o', 'a', 'r', 'n']"
_a_,p,pao,"['m', 'b', 'c', 'l', 'r']"
_tg,m,mtg,"['e', 'i']"
j_c,i,jic,"['o', 'e', 'a', 's']"
_r_,a,bra,"['o', 'e', 'i', 't']"
_og,j,jog,"['r', 's', 'n', 'l']"
__w,a,yaw,"['o', 'e', 'i', 'n', 'r']"
c_r,n,cnr,"['o', 'i', 'e']"
u_t,m,umt,"['l', 'n', 's', 'r']"
ca_,p,cap,"['b', 'm', 'v']"
_w_,d,dwb,"['o', 'e', 's', 'i', 't']"
eb_,s,ebs,"['i', 'o']"
t_t,r,trt,"['e', 'i', 'o', 'a']"
f_a,p,fpa,"['i', 'r']"
_ew,l,lew,"['r', 'n']"
_b_,a,sba,"['o', 'e', 'i', 'r', 't']"
i__,m,icm,"['n', 'o', 'e', 'r']"
h_i,m,hmi,"['e', 'o', 'a']"
my_,g,myg,"['o', 'e', 's']"
r_d,c,rcd,"['e', 'o']"
__c,p,pic,"['o', 'e', 'a', 'n']"
__g,m,smg,"['e', 'i', 'o', 'a', 'r']"
_ur,s,sur,"['a', 'o', 'c']"
d_d,s,dsd,"['e', 'i', 'o', 'a']"
_u_,d,dud,['r']
d_s,j,djs,"['e', 'i', 'o', 'a']"
w_w,s,wsw,"['o', 'a', 'e', 'i', 'l']"
f_d,u,fud,"['e', 'i', 'o', 'a']"
__h,a,agh,"['o', 'e', 'i', 's', 'r']"
_i_,m,mix,"['n', 'r', 's', 'l', 'o']"
l__,t,lts,"['o', 'e', 'i', 'a', 'r']"
dm_,s,dms,['e']
_ks,m,mks,"['e', 'o', 'i']"
dg_,p,dgp,"['e', 'o']"
a_o,b,abo,"['p', 'c', 'm', 'd']"
__x,a,aux,"['e', 'o', 'i', 'n']"
_ry,o,ory,"['a', 'e']"
_sn,w,wsn,"['o', 'i', 'e']"
a_c,s,asc,"['p', 'b', 'f']"
dl_,s,dls,"['e', 'o']"
au_,c,auc,['r']
s_r,v,svr,"['o', 'i', 'a', 'e']"
_k_,a,aku,"['e', 'i', 'o', 's', 'r']"
sf_,m,sfm,"['i', 'e', 'o', 'r']"
__p,i,vip,"['o', 'e', 'a', 'r', 's']"
v__,d,vdi,"['e', 'o', 'a', 'r']"
_ye,k,kye,['r']
dp_,i,dpi,['e']
en_,a,ena,"['s', 'o']"
_yp,n,nyp,"['h', 'o']"
ju_,r,jur,"['n', 'e', 's', 'l']"
_ei,d,dei,"['r', 'l', 'n']"
__m,l,llm,"['o', 'e', 'i', 'a', 'r']"
_wr,b,bwr,['o']
__p,a,yap,"['o', 'e', 'i', 'r', 's']"
t_t,k,tkt,"['e', 'i', 'o']"
_ov,s,sov,"['l', 'r', 'n', 'i']"
md_,e,mde,"['i', 'o', 'r']"
m_p,e,mep,"['o', 'i', 'a']"
_ea,j,jea,"['r', 'i', 'n', 'o']"
d_i,s,dsi,"['r', 'e', 'o', 'a']"
q_d,i,qid,"['e', 'o', 'a', 's']"
u_c,s,usc,"['n', 'r']"
rf_,i,rfi,['e']
h__,p,hop,"['e', 'i', 'a', 'r', 'n']"
_u_,e,cue,"['r', 'o', 's', 'i', 'a']"
bf_,r,bfr,"['i', 'e', 'o']"
b__,c,bhc,"['e', 'o', 'i', 'a']"
np_,t,npt,"['e', 'o', 'i']"
if_,y,ify,"['e', 'o', 'a']"
ge_,m,gem,"['r', 'o']"
__l,i,vil,"['e', 'o', 'a', 'r']"
h_h,s,hsh,"['o', 'e', 'a', 'i']"
_af,j,jaf,"['b', 'c', 's']"
s_m,h,shm,"['o', 'i', 'e']"
pb_,s,pbs,"['o', 'i', 'e', 'a']"
_rh,a,arh,"['o', 'e', 'i']"
_bb,o,obb,"['i', 'e']"
_mu,n,nmu,"['i', 'o']"
n_r,h,nhr,"['o', 'i', 'e', 'a']"
_ie,b,bie,"['r', 'l', 's']"
a__,s,ass,"['c', 'l']"
_ms,h,hms,"['i', 'e']"
_ay,p,pay,"['b', 'j', 'l']"
f_m,u,fum,"['o', 'i', 'e', 'a']"
rd_,a,rda,"['e', 'o', 'i', 's']"
s__,p,sgp,"['e', 'o', 'i', 'a']"
_o_,b,bob,"['r', 'n', 'i', 'l', 's']"
d__,p,dup,"['e', 'o', 'i', 'a']"
c__,m,cum,"['o', 'i', 'e', 'r', 'a']"
ur_,c,urc,['e']
_ip,l,lip,"['s', 'n']"
ip_,a,ipa,['e']
_b_,i,cbi,"['o', 'e', 'a', 'r']"
_ps,w,wps,"['e', 'o', 'i', 'a']"
_s_,e,cse,"['o', 'i', 'a', 'r']"
_t_,u,utu,"['e', 'i', 'o', 'a']"
_ws,i,iws,"['o', 'a']"
