masked_word,target,original_word,wrong_guesses
_ey,d,dey,['r']
an_,i,ani,['g']
j__,n,jon,"['e', 'i', 'a', 'r']"
_c_,i,ice,"['o', 'a', 's', 'r']"
h_w,e,hew,"['o', 'a', 'i', 's']"
_mm,e,emm,['i']
d_d,a,dad,"['e', 'i', 'o']"
__o,d,udo,"['r', 'i', 'e', 'a', 's']"
_ig,c,cig,"['r', 's']"
wo_,p,wop,"['r', 'n', 'l', 'i']"
_h_,p,pho,"['e', 'i', 's', 'r', 'a']"
ar_,o,aro,"['b', 'g']"
a_e,r,are,"['l', 'p', 'v']"
c_o,r,cro,"['l', 'i', 'h', 'n']"
_ay,h,hay,"['b', 'j']"
_op,h,hop,"['c', 's']"
_ue,s,sue,"['q', 'r', 'l', 'o']"
__w,a,yaw,"['o', 'e', 'i', 'n']"
an_,y,any,"['g', 'd']"
v_i,e,vei,['o']
g_t,o,got,"['e', 'i', 'a', 's']"
y__,u,yus,"['o', 'e', 'a', 'i', 'n']"
_e_,p,pep,"['r', 'i']"
_e_,p,hep,"['r', 'i', 'n', 'o']"
r_a,e,rea,"['o', 'i', 's']"
_oo,w,woo,"['r', 'l', 's', 't']"
_u_,t,jut,"['r', 'o', 'e', 's']"
a_u,b,abu,"['p', 'g', 'c', 'l']"
_eu,f,feu,"['r', 'l']"
_o_,n,yon,"['r', 'i', 'l', 's', 'e']"
_ig,m,mig,"['r', 's', 'n']"
w__,u,wur,"['o', 'i', 'e', 'a']"
f_t,a,fat,"['i', 'e']"
h_t,a,hat,"['e', 'o', 'i']"
me_,g,meg,"['r', 'i', 'l', 'o']"
za_,c,zac,"['r', 'n']"
c_t,o,cot,"['i', 'e', 'a', 'r']"
o_t,a,oat,"['i', 'e', 'r', 's']"
c_e,u,cue,"['r', 'l', 'o']"
__w,a,naw,"['o', 'e', 'i', 'r']"
m__,i,mix,"['e', 'o', 'a', 'r']"
j_b,a,jab,['i']
_we,a,awe,['o']
ro_,w,row,"['e', 'i']"
t_a,r,tra,['i']
d_d,u,dud,"['e', 'i', 'o', 'a', 's']"
o_f,a,oaf,['e']
ca_,m,cam,"['p', 'b', 'v']"
_rf,u,urf,"['o', 'e']"
_o_,l,kol,"['r', 'n', 'i', 's', 'e']"
ne_,b,neb,['r']
_i_,g,gio,"['n', 'r', 's', 'l', 'e']"
b__,d,bud,"['e', 'o', 'i', 'a']"
_z_,a,azo,"['e', 'i', 'r', 's', 't']"
h_m,i,him,"['o', 'e']"
k_a,h,kha,"['o', 'i']"
c__,a,can,"['o', 'i', 'e', 'r', 's']"
_eo,y,yeo,"['r', 'n', 'l']"
c__,p,cyp,"['o', 'i', 'e', 'r', 'a']"
_es,w,wes,"['r', 'a', 'i', 'l']"
w__,g,wog,"['i', 'e', 'a', 'r', 'n']"
r_c,i,ric,"['e', 'o']"
ne_,p,nep,"['r', 'o']"
__n,i,fin,"['o', 'e', 'a', 'r', 's']"
n_t,i,nit,"['o', 'e', 'a', 'r']"
m_m,u,mum,"['o', 'i', 'e']"
gy_,n,gyn,"['o', 'e', 'r', 'a']"
j__,t,jat,"['o', 'e', 'i', 'n', 'r']"
__r,u,bur,"['o', 'e', 'i', 'a']"
__y,f,fry,"['o', 'e', 'a', 'i', 'n']"
__n,t,ton,"['i', 'e', 'a', 'r', 's']"
ze_,a,zea,"['r', 'n', 'i']"
f_r,i,fir,"['o', 'e', 'a']"
__m,u,rum,"['o', 'e', 'i', 'a']"
_ar,o,oar,"['b', 'k', 'p', 'm']"
__d,j,jed,"['o', 'i', 'a', 'r', 's']"
_ei,h,hei,"['r', 'l', 'n', 's']"
l_m,u,lum,['o']
_es,b,bes,"['r', 'a']"
_i_,n,hin,"['r', 's', 'l', 'o']"
__m,y,yom,"['e', 'i', 'a', 'r', 's']"
_in,l,lin,['r']
_t_,o,oto,"['e', 'i']"
ja_,w,jaw,"['n', 'm', 'b']"
__r,b,bor,"['e', 'i', 'a', 's']"
h_h,a,hah,"['o', 'e']"
l__,m,lim,"['o', 'e', 'a', 'r', 'n']"
_a_,l,hal,"['m', 'b', 'c', 'p', 'r']"
s_p,o,sop,"['e', 'i', 'a', 'r']"
o_a,n,ona,"['r', 'i']"
_ot,r,rot,['e']
e_g,r,erg,"['n', 'i', 'a']"
j__,m,jam,"['o', 'e', 'i', 'n']"
__n,a,zan,"['o', 'i', 'e', 'r', 's']"
_de,i,ide,"['o', 'a']"
i__,y,iyo,"['n', 'e', 'r', 's']"
_ix,p,pix,"['s', 'l', 'n', 'e']"
__t,o,ort,"['e', 'i', 'a', 'n', 's']"
