masked_word,target,original_word,wrong_guesses
d_y,e,dey,"['r', 'o', 'a', 'i']"
an_,i,ani,['g']
j_n,o,jon,"['e', 'i', 'a']"
i_e,c,ice,"['r', 'l', 'n', 's']"
_ew,h,hew,"['r', 'n', 'l', 's']"
e__,m,emm,"['i', 'o', 'n']"
_a_,d,dad,"['m', 'b']"
ud_,o,udo,"['e', 'i', 'r']"
c_g,i,cig,"['o', 'a', 'e', 'r']"
w_p,o,wop,"['i', 'a']"
p__,o,pho,"['i', 'e', 'r', 'a']"
_ro,a,aro,"['p', 'i']"
_re,a,are,"['o', 'i', 't']"
cr_,o,cro,"['e', 'i', 'a', 's']"
_ay,h,hay,"['b', 'j']"
h_p,o,hop,"['e', 'i', 'a', 's']"
su_,e,sue,"['r', 'n', 'l', 'a']"
_aw,y,yaw,"['j', 'b', 's']"
__y,a,any,"['o', 'e', 'i', 'r']"
__i,v,vei,"['o', 'r', 'a', 's']"
_ot,g,got,['r']
yu_,s,yus,['e']
p_p,e,pep,"['o', 'i']"
_e_,h,hep,"['r', 'i', 'n', 'o']"
_ea,r,rea,"['i', 'n', 'o']"
w__,o,woo,"['i', 'e', 'a', 'r']"
j_t,u,jut,"['e', 'o', 'i']"
ab_,u,abu,"['s', 'r']"
__u,f,feu,"['o', 'r', 'i', 'a', 's']"
yo_,n,yon,['i']
_i_,g,mig,"['n', 'r', 's', 'l', 'o']"
__r,w,wur,"['o', 'e', 'i', 'a']"
__t,a,fat,"['e', 'o', 'i', 'r', 'n']"
_at,h,hat,"['p', 'k']"
me_,g,meg,"['r', 'i']"
__c,a,zac,"['o', 'e', 'i', 'n', 'r']"
co_,t,cot,"['r', 'n', 's']"
_a_,o,oat,"['m', 'b', 'c', 'l', 'p']"
c_e,u,cue,"['r', 'l', 'o', 'i']"
__w,a,naw,"['o', 'e', 'i', 'r', 's']"
_ix,m,mix,"['s', 'l']"
_ab,j,jab,"['s', 't']"
_w_,a,awe,"['o', 's', 'i', 't', 'n']"
r_w,o,row,"['e', 'a', 'i', 's']"
t_a,r,tra,"['i', 'o', 'e']"
d_d,u,dud,"['e', 'i', 'o', 'a']"
__f,o,oaf,"['e', 'i', 'r', 'n', 's']"
c__,a,cam,"['o', 'i', 'e', 'r']"
u__,f,urf,"['n', 'i', 'e', 'o', 's']"
k__,o,kol,"['i', 'e', 'a', 'n', 'r']"
ne_,b,neb,"['r', 'o', 'a']"
g_o,i,gio,"['r', 'l', 'n']"
b__,u,bud,"['e', 'o', 'i', 'a']"
az_,o,azo,"['e', 'i', 'r', 's']"
h__,i,him,"['e', 'o', 'a', 'r', 'n']"
k_a,h,kha,"['o', 'i', 'r', 'e']"
ca_,n,can,['p']
y_o,e,yeo,"['i', 'a']"
__p,c,cyp,"['o', 'e', 'i', 'a']"
_e_,w,wes,"['r', 'i', 'n', 'o', 'a']"
w_g,o,wog,['a']
ri_,c,ric,"['e', 'n']"
ne_,p,nep,"['r', 'o', 'a']"
__n,f,fin,"['o', 'e', 'a', 'r']"
ni_,t,nit,"['s', 'l']"
_u_,m,mum,"['r', 'o']"
gy_,n,gyn,"['o', 'e']"
_at,j,jat,"['p', 'k', 'c', 'b']"
bu_,r,bur,['n']
_ry,f,fry,"['o', 'a', 'e']"
to_,n,ton,"['r', 'i', 'e', 's']"
_e_,a,zea,"['r', 'i', 'n', 'o']"
_i_,f,fir,"['n', 's', 'l', 'o', 'e']"
r_m,u,rum,"['e', 'o']"
_a_,o,oar,"['m', 'b', 'c', 'l']"
j_d,e,jed,"['i', 'o', 'a', 'u']"
__i,h,hei,"['o', 'r', 'a', 's', 'n']"
__m,u,lum,"['o', 'e', 'i', 'a']"
_es,b,bes,"['r', 'a', 'i']"
hi_,n,hin,['e']
yo_,m,yom,['n']
li_,n,lin,"['o', 'a', 'r', 'e']"
o_o,t,oto,"['r', 'i', 's', 'n', 'l']"
_aw,j,jaw,['b']
b__,o,bor,"['e', 'i', 'a', 'n', 's']"
_a_,h,hah,['m']
__m,i,lim,"['o', 'e', 'a', 'r']"
h__,a,hal,"['e', 'o', 'i', 'r']"
s_p,o,sop,"['e', 'i', 'a']"
o_a,n,ona,['r']
__t,o,rot,"['e', 'i', 'a', 'n', 's']"
e_g,r,erg,"['n', 'i', 'a', 's']"
ja_,m,jam,"['n', 'b', 's', 'l']"
z__,a,zan,"['o', 'e', 'i', 'r', 's']"
_d_,e,ide,"['o', 'a', 'r', 's']"
__o,i,iyo,"['r', 'e', 'a', 's', 't']"
pi_,x,pix,['n']
_rt,o,ort,"['e', 'i', 'a']"
v_l,o,vol,"['i', 'e', 'a', 'r']"
_ca,u,uca,"['o', 'e']"
e_e,m,eme,"['r', 'n', 's']"
_ur,s,sur,"['a', 'o', 'c', 'e']"
sl_,a,sla,"['e', 'o', 'i']"
co_,s,cos,"['r', 'n', 't', 'e']"
ba_,e,bae,"['l', 'r', 'n', 'd']"
d_l,e,del,"['o', 'i', 'a']"
_am,f,fam,"['k', 'j']"
w_o,r,wro,"['h', 'a', 'i']"
_o_,y,yoy,"['r', 'n', 'i', 'l']"
_og,b,bog,"['r', 's', 'n']"
_dd,o,odd,"['e', 'i', 'a', 's', 'r']"
__i,o,obi,"['r', 'e', 'a', 's', 'n']"
sa_,g,sag,"['b', 'p', 'm']"
_ll,i,ill,"['e', 'a', 'o', 'r']"
ah_,o,aho,['m']
d_e,i,die,"['r', 'o']"
ur_,i,uri,"['e', 'o']"
w_t,u,wut,['i']
ze_,p,zep,['r']
_o_,w,vow,"['r', 'n', 'i', 'l', 's']"
p_n,o,pon,"['i', 'e', 'a', 's']"
fe_,i,fei,"['r', 'l']"
uv_,a,uva,"['e', 'i']"
__m,a,aam,"['o', 'e', 'i', 'r']"
_ax,s,sax,"['t', 'm', 'b', 'f']"
n__,a,nea,"['o', 'i', 'r', 's', 't']"
p__,s,pst,"['o', 'i', 'e', 'r', 'a']"
na_,y,nay,"['v', 'p']"
e_o,g,ego,"['r', 'n', 'l', 'i']"
__e,s,sie,"['r', 'o', 'a', 'n', 'l']"
i_e,k,ike,['r']
s_s,u,sus,"['o', 'e', 'i']"
